title,description,published_at,source,url,country
"""Chorrea hacia abajo"" Mariana Loyola lanza dardo a presidentes que ""auspician la violencia machista""",La actriz chilena Mariana Loyola lanzó sus dardos en contra de los gobiernos que “avalan la violencia machista” y realizan...,2026-04-24T01:31:18Z,BioBioChile,https://www.biobiochile.cl/noticias/espectaculos-y-tv/celebridades/2026/04/23/chorrea-hacia-abajo-mariana-loyola-lanza-dardo-a-presidentes-que-auspician-la-violencia-machista.shtml,Nepal
The Rocky Horror Show review - campy musical returns to Broadway in need of an energy boost,"The 1973 cult favorite is back with a stacked cast, including Juliette Lewis, Luke Evans and Rachel Dratch, but only flashes of genuine fun",2026-04-24T01:31:00Z,The Guardian,https://www.theguardian.com/stage/2026/apr/23/the-rocky-horror-show-review-broadway,Nepal
"Ringgit rises against greenback, major currencies on strong March trade data","KUALA LUMPUR: The ringgit edged higher against the US dollar and other major currencies in early trade on Friday, supported by resilient Malaysia trade data for March.",2026-04-24T01:31:00Z,The Star,https://www.thestar.com.my/business/business-news/2026/04/24/ringgit-rises-against-greenback-major-currencies-on-strong-march-trade-data,Nepal
"Exclusive: Days before FIRs were filed in TCS Nashik case, 2 women complainants had quit BPO","Meanwhile, family members and friends of some of the complainants – there are nine in total – told The Indian Express that some of the women complainants are battling depression, anxiety and social isolation",2026-04-24T01:30:46Z,The Indian Express,https://indianexpress.com/article/cities/mumbai/exclusive-days-before-firs-were-filed-in-tcs-nashik-case-2-women-complainants-had-quit-bpo-10652785/,Nepal
A Much Welcome Time Warp,"Deadline reviews Broadway's 'The Rocky Horror Show' featuring Luke Evans, Rachel Dratch and Juliette Lewis.",2026-04-24T01:30:00Z,Deadline,https://deadline.com/2026/04/rocky-horror-show-broadway-review-1236867882/,Nepal
Is Kolkata a city of slums like Amit Shah said? Here's the fact,"West Bengal Assembly Polls: Addressing a rally for the West Bengal election, Home Minister Amit Shah said Kolkata had turned into a city of slums under successive Communist and Trinamool Congress governments. Is it a fact that Kolkata, the capital of West Bengal, is a city of slums? Here's the fact.",2026-04-24T01:30:00Z,India Today,https://www.indiatoday.in/elections/assembly/story/west-bengal-assembly-elections-home-minister-amit-shah-bjp-cpm-tmc-kolkata-city-of-slums-2011-census-chennai-mumbai-delhi-2900492-2026-04-24,Nepal
ученые обнаружили утечку драгоценных металлов через вулканы,"Исследователи выяснили, что золото и рутений просачиваются из ядра Земли на поверхность. Вулканы на Гавайях выносят драгоценные металлы с глубины 3000 км.",2026-04-24T01:30:00Z,УНИАН,https://www.unian.net/science/zoloto-uchenye-obnaruzhili-utechku-dragocennyh-metallov-cherez-vulkany-13359516.html,Nepal
вчені виявили витік дорогоцінних металів через вулкани,"Дослідники з'ясували, що золото та рутеній просочуються з ядра Землі на поверхню. Вулкани на Гаваях підіймають коштовні метали з глибини 3000 км.",2026-04-24T01:30:00Z,УНІАН,https://www.unian.ua/science/zoloto-vcheni-viyavili-vitik-dorogocinnih-metaliv-cherez-vulkani-13359519.html,Nepal
Rams take quarterback Ty Simpson at No. 13,The Rams have drafted Matthew Stafford's successor.,2026-04-24T01:29:50Z,NBC Sports,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rams-take-quarterback-ty-simpson-at-no-13,Nepal
"디아블로IV, 확장팩 '증오의 군주' 28일 출시... 시네마틱·밴드 협업 기대감 고조",블리자드 엔터테인먼트는 액션 RPG 디아블로 IV의 차기 확장팩 '증오의 군주'를 28일 오전 8시(한국시간) 출시한다. 이번 확장팩의 핵심 서사를 담은 오프닝 시네마틱은 시리즈 사상 가장 어두운 분위기를 강조한다. 주요 인물 네이렐이 증오의 군주 메피스토와 대면하는,2026-04-24T01:29:41Z,전자신문,https://www.etnews.com/20260424000132,Nepal
"Hormuz Strait: 'होर्मुज में माइन बिछाने वाली ईरानी बोट्स को गोली से उड़ा दो', डोनाल्ड ट्रंप का अमेरिकी नेवी को फरमान",अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप ने होर्मुज स्ट्रेट को लेकर बड़ा आदेश दिया है। उन्होंने अमेरिकी सेना से कहा है कि जलडमरूमध्य में बारूदी सुरंग बिछाने वाली छोटी ईरानी नावों को शूट करके मार दिया जाए।,2026-04-24T01:29:32Z,Navbharat Times,https://navbharattimes.indiatimes.com/world/america/trump-ordered-us-navy-ko-shoot-and-kill-iranian-boats-laying-mines-in-hormuz-strait/articleshow/130481276.cms,India
விஜய் வருகையால் வாக்குச்சாவடியில் தள்ளுமுள்ளு: 45 நிமிடம் காத்திருந்த வாக்காளர்கள்,விஜய் வரு​கை​யால் நீலாங்​கரை வாக்​குச்​சாவடி​யில் தள்​ளு​முள்ளு ஏற்​பட்​டது. கூட்ட நெரிசலுக்கு இடையே பலத்த போலீஸ் பாது​காப்​புடன் அவர் தனது வாக்​கைப் பதிவு செய்​தார்.,2026-04-24T01:23:17Z,Hindu Tamil Thisai,https://www.hindutamil.in/news/tamilnadu/scuffle-at-polling-booth-following-arrival-of-tvk-leader-vijay,India
ईरान परमाणु बम बनाने के कितना क़रीब पहुंच चुका है?,यूरेनियम को किस तरह संवर्धित किया जाता है. न्यूक्लियर रिएक्टर में और परमाणु बम बनाने में इस्तेमाल होने वाले यूरेनियम में क्या फर्क होता है?,2026-04-24T01:23:09Z,BBC,https://www.bbc.com/hindi/articles/clyr0nmg25go,India
"दूसरे फेज में भी बाहर मत आना, वरना उल्टा लटकाकर सीधा कर दूंगा; अमित शाह ने किसे दी धमकी","मध्यमग्राम में चुनाव के दूसरे चरण में 29 अप्रैल को मतदान होगा। मतगणना चार मई को होगी। शाह ने रोडशो के दौरान पत्रकारों से कहा कि भाजपा के सत्ता में आने के बाद पश्चिम बंगाल में एक भी घुसपैठिए को नहीं घुसने दिया जायेगा।, West-bengal Hindi News - Hindustan",2026-04-24T01:19:06Z,Hindustan Hindi News,https://www.livehindustan.com/west-bengal/amit-shah-excited-with-first-phase-voting-percentage-in-bengal-elections-warn-tmc-goons-201776993269491.html,India
"Raja Shivaji Cast Fees : राजा शिवाजी सिनेमात मराठीसह बॉलिवूडकरांचीही गर्दी, 100 कोटींच्या बजेटमध्ये कोणाला किती मिळाली फी","'राजा शिवाजी' हा चित्रपट रिलीज व्हायला काहीच दिवस उरले आहेत. त्यामुळे प्रेक्षकांमधील उत्सुकता आताच शिगेला पोहोचली आहे. या चित्रपटात कलाकारांची एक मोठी फौज पाहायला मिळते, ज्यात मराठीसह बॉलिवूडच्या दिग्गजांचाही समावेश आहे. या चित्रपटातील आपापल्या भूमिकांसाठी प्रत्येक कलाकाराला किती मानधन मिळाले आहे, हे जाणून घेऊ.",2026-04-24T01:15:17Z,Maharashtra Times,https://maharashtratimes.com/entertainment/entertainment-news/bollywood-news/raja-shivaji-film-star-cast-fees-from-riteish-deshmukh-to-mahesh-manjrekar/articleshow/130481173.cms,India
Trump rules out nuclear strike on Iran: 'Decimated ​them without it',"Trump emphasised that he is not in a hurry to reach an agreement with Tehran, prioritising a stable, long-term solution over a quick resolution",2026-04-24T01:14:22Z,Moneycontrol.com,https://www.moneycontrol.com/world/trump-rules-out-nuclear-strike-on-iran-decimated-them-without-it-article-13898059.html,India
भारतीय दूतावास ने 'ईरान की यात्रा नहीं करने' की 'सख़्त सलाह' क्यों दी,भारत और ईरान के बीच फ़्लाइट फिर शुरू होने की ख़बरों के बीच ईरान में भारतीय दूतावास ने भारतीयों के लिए ट्रैवल एडवाइज़री जारी की है.,2026-04-24T01:12:48Z,BBC,https://www.bbc.com/hindi/live/ckgej3yxjert,India
MK Stalin: மே 4ல் தமிழ்நாடு வெல்லும்.. வாக்களித்தவர்களுக்கு நன்றி சொன்ன மு.க.ஸ்டாலின்!,"தமிழ்நாடு சட்டமன்ற தேர்தலில் வாக்களிக்க பல்வேறு தரப்பு மக்களும் ஆர்வம் காட்டினர். குறிப்பாக இளைஞர்கள் பெருமளவில் தங்கள் கடமையை செய்தனர். வெளியூர், வெளிநாடு, வெளிமாநிலங்களில் இருந்தும் கூட வாக்களிக்க வந்தன",2026-04-24T01:09:10Z,ABP Nadu,https://tamil.abplive.com/news/tamil-nadu/tamil-nadu-elections-2026-cm-mk-stalin-thanks-to-voters-for-doing-their-democratic-duty-257311,India
Rams select QB Ty Simpson with No. 13 pick in NFL draft,"According to ESPN's Adam Schefter, Rams coach Sean McVay told Matthew Stafford earlier Thursday of the team's plan to take Ty Simpson at No. 13.",2026-04-24T01:27:00Z,ESPN,https://www.espn.com/nfl/story/_/id/48575685/rams-select-qb-ty-simpson-no-13-pick-nfl-draft,USA
"Trump confirms he's weighing a taxpayer takeover of Spirit Airlines ""for the right price""",President Trump said Thursday that he was weighing a taxpayer-funded takeover of Spirit Airlines​ with the intent of reselling the struggling budget carrier​ after oil prices drop.,2026-04-24T01:21:00Z,CBS News,https://www.cbsnews.com/news/trump-weighing-taxpayer-takeover-spirit-airlines/,USA
The New Version Of Game Pass Is A Perk For Discord Nitro Users,The chat platform subscription will seemingly give players access to some games for free,2026-04-24T01:07:02Z,Kotaku,https://kotaku.com/xbox-game-pass-discord-nitro-stardew-valley-fallout-4-2000690262,USA
"Iran War Has Drained U.S. Supplies of Critical, Costly Weapons","The Pentagon’s rush to rearm its Mideast forces makes it less ready to confront potential adversaries like Russia and China, administration and congressional officials say.",2026-04-24T01:04:32Z,The New York Times,https://www.nytimes.com/2026/04/23/us/politics/iran-war-cost-military.html,USA
"Edge David Bailey, Texas Tech, Round 1, Pick 2",Joins Green & White's Edge-Rushing Group as the Highest Defensive Draft Choice in Franchise History,2026-04-24T00:58:52Z,New York Jets,https://www.newyorkjets.com/news/david-bailey-nfl-draft-edge-texas-tech,USA
El mayor fabricante de condones anuncia subida de precios por la guerra,Se dispara en un 30% el costo de los profilácticos.,2026-04-24T00:57:12Z,Primera Hora,https://www.primerahora.com/noticias/consumo/notas/el-mayor-fabricante-mundial-de-condones-anuncia-subida-de-precios-por-la-guerra/,USA
Judge sets date for evidence against singer D4vd in killing of 14-year-old to be presented,"Lawyers for singer D4vd insisted Thursday on forcing prosecutors to show what evidence they have, and a judge set a hearing for next week for them to lay it out publicly in the killing and dismemberment of Celeste Rivas Hernandez.",2026-04-24T00:55:55Z,PBS,https://www.pbs.org/newshour/nation/judge-sets-date-for-evidence-against-singer-d4vd-in-killing-of-14-year-old-to-be-presented,USA
The Lion King review - Disney’s Broadway juggernaut roars to life in Sydney,"With breathtaking aesthetics and joyous performances, the audacious adaptation – now almost 30 years old – is greater than the sum of its parts",2026-04-24T01:23:00Z,The Guardian,https://www.theguardian.com/film/2026/apr/24/the-lion-king-review-musical-sydney,Australia
Tom Starling cops online abuse after Raiders' loss to Wests Tigers,Canberra Raiders hooker Tom Starling has received disgusting online abuse following the loss to Wests Tigers on Thursday night.,2026-04-24T01:21:50Z,The Canberra Times,https://www.canberratimes.com.au/story/9232015/tom-starling-cops-online-abuse-after-raiders-loss-to-wests-tigers/,Australia
APOLLO AI learns from 25 billion medical events to predict future disease,"APOLLO is a multimodal temporal foundation model trained on 25.2 billion medical events from 7.2 million patients across 33 years of Mass General Brigham records, integrating 28 medical modalities into unified “virtual patient representations.” Across 322 downstream tasks, the model showed strong performance in disease prediction, treatment-response stratification, hospital operations, and patient retrieval, supporting the idea of more computable, data-driven medicine.",2026-04-24T01:12:00Z,News-Medical,https://www.news-medical.net/news/20260423/APOLLO-AI-learns-from-25-billion-medical-events-to-predict-future-disease.aspx,Australia
"Woolworths, Coles case won't hurt the supermarket oligopoly","Whatever happens in the 'fake discounts' case, it's clear that the true impediment to consumer protection is Australia's political class.",2026-04-24T01:06:54Z,Crikey,https://www.crikey.com.au/2026/04/24/woolworths-coles-court-case-discounts-supermarket-oligopoly/,Australia
Tobacco ban in the UK could create a smoke,Anyone born after 2008 will be banned from buying cigarettes or vapes for life in the UK when a new bill becomes law.,2026-04-24T01:04:53Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/generational-smoking-ban-uk/106592244,Australia
Smith confirms he will attend Anzac Day commemorations after release on bail,"Ben Roberts-Smith confirms he will be attending Anzac Day services tomorrow, saying he intends to pay his respects, one week on from his release on bail.",2026-04-24T00:58:52Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/ben-roberts-smith-anzac-day-commemorations/106601020,Australia
‘It’s pretty ugly’: Kyle Sandilands tells ARN to put him back on air as he arrives for court hearing in Rolls-Royce,Radio presenter arrives for case management hearing into allegations he breached his Kiis FM radio contract,2026-04-24T00:34:00Z,The Guardian,https://www.theguardian.com/media/2026/apr/24/kyle-sandilands-kiis-fm-arn-radio-contract-ntwnfb,Australia
"Gunn On ""Clayface"" Timeline, Horror Tone",DC Studios chief James Gunn has offered some new insights on the Clayface movie and its place in the DC Universe canon. Tom Rhys Harries will play the titular Batman villain in the film which has been co-written by Mike Flanagan and directed by James Watkins and serves as an origin for the character. The […],2026-04-24T00:27:50Z,Dark Horizons,https://www.darkhorizons.com/gunn-on-clayface-timeline-horror-tone/,Australia
Pentagon awards $276m AUKUS submarine contract funded by Australia,The US Department of Defense announces the first major submarine contract to deliver on the AUKUS security deal.,2026-04-24T00:24:49Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/us-navy-awards-contract-for-aukus-submarine-deal/106601042,Australia
"US soldier charged with making $560,000 on Nicolás Maduro removal with Polymarket bets","In the weeks leading up to Venezuelan leader Nicolás Maduro's January 3 capture, Gannon Ken Van Dyke used sensitive classified information to make wagers on prediction market Polymarket.",2026-04-24T00:22:26Z,Australian Broadcasting Corporation,https://www.abc.net.au/news/2026-04-24/us-soldier-charged-betting-on-maduro-removal/106601200,Australia
