title,description,published_at,source,url,country
Saham-Saham Ini Masuk Antrean Jual Asing Kala IHSG Ambruk,"Indeks Harga Saham Gabungan melemah 2,16% pada 23 April 2026. Investor asing jual bersih Rp978,65 miliar. Simak daftar saham yang dijual asing!",2026-04-24T01:37:19Z,CNBC Indonesia,https://www.cnbcindonesia.com/market/20260424082819-17-729462/saham-saham-ini-masuk-antrean-jual-asing-kala-ihsg-ambruk,Nepal
خطة إيران لرسوم عبور هرمز.. ماذا تعني للاقتصاد العالمي؟,تثير خطة إيران لفرض رسوم عبور على السفن في مضيق هرمز مخاوف من تداعيات اقتصادية سلبية وارتفاع في الأسعار حول العالم.,2026-04-24T01:37:14Z,سكاي نيوز عربية,https://www.skynewsarabia.com/middle-east/1865890-%D8%AE%D8%B7%D8%A9-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D9%84%D8%B1%D8%B3%D9%88%D9%85-%D8%B9%D8%A8%D9%88%D8%B1-%D9%87%D8%B1%D9%85%D8%B2-%D8%AA%D8%B9%D9%86%D9%8A-%D9%84%D9%84%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A,Nepal
Lời khai của kẻ giết chủ tiệm cầm đồ,"Quảng Trị- Nguyễn Văn Dũng cần tiền trả nợ nên đến tiệm cầm đồ vay, sau khi nhận được tiền đã đoạt mạng chủ tiệm. - VnExpress",2026-04-24T01:37:00Z,VnExpress,https://vnexpress.net/loi-khai-cua-ke-giet-chu-tiem-cam-do-5066457.html,Nepal
Elijah Hollands shared his story with me. He was brave then and he’s brave now,"Elijah Hollands got himself back through help from family, experts, his teammates and Carlton. He showed courage to do so. Now his health is the priority.",2026-04-24T01:36:28Z,The Age,https://www.theage.com.au/sport/afl/elijah-hollands-shared-his-story-with-me-he-was-brave-then-and-he-s-brave-now-20260422-p5zq8f.html,Nepal
തമിഴ്‌നാട്ടിൽ റെക്കോർഡ് പോളിങ്; ദ്രാവിഡ മണ്ണിൽ വിധി ആർക്കൊപ്പം? അങ്കലാപ്പിൽ മുന്നണികൾ,"ഉയർന്ന പോളിങ് ശതമാനം ആരെ തുണക്കുമെന്ന ആകാംക്ഷയിലാണ് ഡിഎംകെ, എഐഡിഎംകെ മുന്നണികളും ടിവികെയും",2026-04-24T01:36:22Z,Media One,https://www.mediaoneonline.com/india/record-polling-in-tamil-nadu-who-will-fate-favor-in-the-dravidian-land-fronts-in-anxiety-321720,Nepal
"Evacuations after slip north of Auckland, heavy rain warnings in place","A slip in Waiwera has caused some people to be evacuated today, while most of Auckland and Northland is being warned about heavy rain ahead of the long weekend.",2026-04-24T01:36:07Z,1News,https://www.1news.co.nz/2026/04/24/evacuations-after-slip-north-of-auckland-heavy-rain-warnings-in-place/,Nepal
"Tom Brady no pierde el tiempo y le da una orden al primer pick del draft de la NFL, Fernando Mendoza","Las Vegas Raiders elige a Fernando Mendoza como la primera selección del Draft de la NFL 2026, un reclutamiento en el que fue clave el copropietario del equipo, Tom Brady",2026-04-24T01:36:00Z,Yahoo,https://es-us.noticias.yahoo.com/deportes/tom-brady-pierde-tiempo-orden-013634199.html,Nepal
Study highlights gaps in opioid use disorder care during pregnancy,"Opioid use disorder during pregnancy remains a critical yet under-addressed public health issue in the U.S., according to a new study at Columbia University Mailman School of Public Health.",2026-04-24T01:36:00Z,News-Medical,https://www.news-medical.net/news/20260423/Study-highlights-gaps-in-opioid-use-disorder-care-during-pregnancy.aspx,Nepal
„Ein Meer aus Blut“: Schah-Sohn fleht Deutschland um Hilfe an,In Maybrit Illners Sendung appelliert Reza Pahlavi an die Bundesregierung und verurteilt das iranische Regime.,2026-04-24T01:35:23Z,BILD,https://www.bild.de/politik/politik-talkshows-im-tv-talk-kritik/ein-meer-aus-blut-schah-sohn-fleht-deutschland-um-hilfe-an-69eac32c79eaea7df39de875,Nepal
Global Energy Logistics Maritime Specialist,"Stay updated with AET's latest news, including industry collaborations, announcements, and significant milestones in our maritime operations and solutions.",2026-04-24T01:35:08Z,aet-tankers.com,https://www.aet-tankers.com/media-centre/latest-news/aet-at-marine-money-2026-advancing-a-multi-fuel-pathway-through-collaboration,Nepal
"Bhooth Bangla BO Day 7: 'भूत बंगला' की कमाई में सातवें दिन आई मंदी, फिर भी बन गई साल की तीसरी सबसे बड़ी फिल्म, 'ओ रोमियो' को दी मात",Bhooth Bangla BO Day 7: अक्षय कुमार की हॉरर कॉमेडी फिल्म 'भूत बंगला' ने सिनेमाघरों में रिलीज का एक हफ्ता पूरा कर लिया है. इसी के साथ अच्छी कमाई कर ये साल की तीसरी सबसेे बड़ी फिल्म बन गई है.,2026-04-24T01:35:06Z,ABP News,https://www.abplive.com/entertainment/bollywood/bhooth-bangla-box-office-collection-day-7-akshay-kumar-film-seventh-day-thursday-first-week-collection-net-in-india-beat-o-romeo-3119490,India
"Box Office: हफ्ता बीतते ही 'भूत बंगला' की लगातार गिरने लगी कमाई, 36वें दिन भी 'धुरंधर 2' का करोड़ में कलेक्शन","अक्षय कुमार की फिल्म 'भूत बंगला' ने रिलीज के तीन दिनों तक तो जबरदस्त कमाई की और सुपरहिट होने की राह पर ही थी लेकिन चौथे दिन के बाद से इसके कलेक्शन में भारी गिरावट आ गई है। वही, धुरंधर 2 का हाल अब 'आज गए, तो कल गए' वाला हो गया है।",2026-04-24T01:34:38Z,Navbharat Times,https://navbharattimes.indiatimes.com/entertainment/box-office/bhooth-bangla-box-office-day-7-vs-dhurandhar-2-the-revenge-day-36-collection/articleshow/130481295.cms,India
"IPL 2026: मिचेल सेंटनर को कंधे में लगी चोट, मुंबई इंडियंस को कैसे मिल गया कन्कशन सब्स्टीट्यूट?",मुंबई इंडियंस के स्पिनर मिचेल सेंटनर को सीएसके के खिलाफ मैच के दौरान कंधे में चोट लगी। इसके बाद भी मुंबई को उनकी जगह कन्कशन सब्स्टीट्यूट के रूप में शार्दुल ठाकुर मिल गए।,2026-04-24T01:34:01Z,Navbharat Times,https://navbharattimes.indiatimes.com/sports/cricket/iplt20/news/mitchell-santner-suffered-shoulder-injury-how-did-mumbai-indians-get-a-concussion-substitute-ipl-2026/articleshow/130481316.cms,India
MI vs CSK: Sanju Samson's Post-Match Remark Proves He Is True Successor To 'Captain' Dhoni,"Sanju Samson's unbeaten 101-run knock against the Mumbai Indians is bound to put pressure on Chennai Super Kings (CSK) captain Ruturaj Gaikwad, trigger a debate around the team's leadership.",2026-04-24T01:32:23Z,NDTV Sports,https://sports.ndtv.com/ipl-2026/sanju-samsons-responsibility-remark-proves-he-is-csks-leader-despite-not-being-captain-11401322,India
Trump says he will ‘probably put a big tariff on the UK’ if it doesn’t drop digital services tax,"US president accuses UK of thinking it can ‘make an easy buck’ from US tech companies, weeks after warning that UK–US trade deal can be changed",2026-04-24T01:35:00Z,The Guardian,https://www.theguardian.com/us-news/2026/apr/24/trump-tariff-uk-digital-services-tax-warning,UK
Assisted dying bill to run out of time as Lords hold final debate,The Terminally Ill Adults (End of Life) Bill was supported by MPs but has not cleared its stages in the Lords.,2026-04-24T00:01:59Z,BBC,https://www.bbc.co.uk/news/articles/cgk0vz5e2zxo,UK
"US soldier charged after winning $400,000 betting on removal of Venezuela's Nicolas Maduro","Gannon Ken Van Dyke allegedly made trades on Polymarket on the basis of classified information, the justice department says.",2026-04-23T23:46:00Z,BBC,https://www.bbc.co.uk/news/articles/c20832yg5p2o,UK
Ukraine war briefing: Trump bristles at Prince Harry’s passionate plea for Ukraine,"Duke of Sussex says US must ‘honour obligations’ as it persuaded Ukraine to give up nuclear weapons; US president retorts that Harry doesn’t speak for Britain. What we know on day 1,521",2026-04-23T23:41:00Z,The Guardian,https://www.theguardian.com/world/2026/apr/24/ukraine-war-briefing-trump-bristles-at-prince-harrys-passionate-plea-for-ukraine,UK
Trump threatens Starmer with ‘big tariff’ over tech tax,"President tells The Telegraph he will retaliate if Britain continues to ‘target’ major American companies such as Apple, Google and Meta",2026-04-23T23:40:00Z,The Telegraph,https://www.telegraph.co.uk/us/news/2026/04/24/trump-drop-digital-service-tech-tax-tariff-threat/,UK
Premier League Darts: Luke Littler beats Jonny Clayton and silences Liverpool crowd to close gap at top of table,"Luke Littler is now just three points behind Jonny Clayton at the top of the Premier League table; He beat Luke Humphries, Michael van Gerwen, and Clayton in Liverpool; you can watch Premier League Darts live on Sky Sports every Thursday",2026-04-23T23:27:29Z,Sky Sports,https://www.skysports.com/darts/news/12288/13535005/premier-league-darts-luke-littler-beats-jonny-clayton-and-silences-liverpool-crowd-to-close-gap-at-top-of-table,UK
"Global stock markets are too high and set to fall, says Bank of England deputy",It is unusual for a senior figure at the Bank to be so forthright on market movements.,2026-04-23T23:15:25Z,BBC,https://www.bbc.co.uk/news/articles/c75kp1y43lgo,UK
"Ringo Starr on pizza, country music, Barry Keoghan and being Sir Richard","Beatles star reveals all about his new country album, being a Sir and coming up with the phrase A Hard Day's Night.",2026-04-23T23:05:11Z,BBC,https://www.bbc.co.uk/news/articles/cp8645d9lvyo,UK
Luke Littler shrugs off boos at Premier League in Liverpool: Reaction in Rotterdam the 'worst I have experienced',Luke Littler says he does not regret what happened with Gian van Veen but believes they have both moved on; He says the boos in Rotterdam were the worst he has experienced; you can watch Premier League Darts live on Sky Sports every Thursday,2026-04-23T22:55:57Z,Sky Sports,https://www.skysports.com/darts/news/12288/13535693/luke-littler-shrugs-off-boos-at-premier-league-in-liverpool-reaction-in-rotterdam-the-worst-i-have-experienced,UK
"Speculation about 'missing scientists' is 'denigrating to their memories,' widow says",Conspiracies are running rampant online after the deaths or disappearances of at least 10 people tied to sensitive US research.,2026-04-23T22:52:20Z,BBC,https://www.bbc.co.uk/news/articles/cwyw9rpdl4po,UK
"'Spent salary on prostitutes': Accused in Delhi IRS officer’s daughter rape-murder is a pervert, had ill intentions towards victim; chilling new details",NEW DELHI: A 23-year-old man accused of raping and murdering the daughter of an Indian Revenue Service (IRS) officer in south Delhi had allegedly carr.,2026-04-24T01:43:00Z,The Times of India,https://timesofindia.indiatimes.com/city/delhi/spent-salary-on-prostitutes-accused-in-delhi-irs-officers-daughter-rape-murder-is-a-pervert-had-ill-intentions-towards-victim-chilling-new-details/articleshow/130481263.cms,Nepal
"पुढील 3 तास संकटाची, प्रशासनाचा इशारा, आजही गारपिटीचा धोका, दुपारी 12 ते 3…",Maharashtra Weather Update : राज्यातील हवामानात गेल्या काही दिवसांपासून सतत बदल होताना दिसत आहे. उष्णता प्रचंड वाढली आहे. कुठे गारपिट होत आहे. त्यामध्येच हवामान विभागाने अत्यंत मोठा इशारा जारी केला.,2026-04-24T01:42:59Z,TV9 Marathi,https://www.tv9marathi.com/maharashtra/indian-meteorological-department-has-issued-yellow-alert-in-maharashtra-on-24-april-2026-1654071.html,Nepal
الزمالك يلامس لقب الدوري بإسقاط بيراميدز,اقترب الزمالك خطوة كبيرة نحو الفوز بلقب الدوري المصري الممتاز لكرة ‌القدم بعدما ​عزز صدارته لمرحلة التتويج بفوزه الثمين 1-صفر على ضيفه بيراميدز في مباراة قمة.ورفع الزمالك رصيده الى 49 نقطة في المركز الأول بفارق خمس نقاط عن بيراميدز صاحب المركز الثاني والأ,2026-04-24T01:42:51Z,الإمارات اليوم,https://www.emaratalyoum.com/sports/arab-and-international/2026-04-24-1.2039104,Nepal
‘Fracture in the Enemy’: Mojtaba Khamenei’s 'unity' message to US amid ‘gravely wounded’ reports,"Mojtaba Khamenei said, ""Due to the strange unity created among compatriots, a fracture has occurred in the enemy,"" describing Tehran's unity as advantage. | World News",2026-04-24T01:42:29Z,Hindustan Times,https://www.hindustantimes.com/world-news/fracture-in-the-enemy-iran-supreme-leader-mojtabas-strange-unity-message-as-war-shows-no-end-101776992632515.html,Nepal
Psilocybin use rises among Americans amid growing clinical interest,"The use of psilocybin, the hallucinogenic compound found in ""magic mushrooms,"" is rising in the United States alongside de‑criminalization efforts in several states and local jurisdictions, as well as heightened interest by the general public.",2026-04-24T01:41:00Z,News-Medical,https://www.news-medical.net/news/20260423/Psilocybin-use-rises-among-Americans-amid-growing-clinical-interest.aspx,Nepal
特朗普：伊朗核谈判或传“佳音”；巴方：和谈将在72小时内重启,特朗普：伊朗核谈判或传“佳音”；巴方：和谈将在72小时内重启,2026-04-24T01:40:53Z,凤凰网,https://mil.ifeng.com/c/8sZoXZDvIDW,Nepal
10 Best Places to Retire 2026 with Tax-Free Benefits,"Dreaming of living comfortably in your golden years should lead you to explore the best places to retire, like Panama and Costa Rica.",2026-04-24T01:40:43Z,Tempo.co English,https://en.tempo.co/read/2100102/10-best-places-to-retire-2026-with-tax-free-benefits,Nepal
『ソニックレーシング クロスワールド』 PlayStation(R)5・Steam版が40%OFFセール開催中！5月1日よりSteamで製品版を無料で楽しめるフリープレイイベント実施,株式会社セガのプレスリリース（2026年4月24日 10時40分）『ソニックレーシング クロスワールド』 PlayStation(R)5・Steam版が40%OFFセール開催中！5月1日よりSteamで製品版を無料で楽しめるフリープレイイベント実施,2026-04-24T01:40:40Z,PR TIMES,https://prtimes.jp/main/html/rd/p/000007325.000005397.html,Nepal
Emor: Isamaa ja Keskerakond juhivad reitinguid tasavägiselt,"Kahe Eesti eelistatuima erakonna seis oli Emori aprilli küsitluses tasavägine, juhtis Isamaa väikese vahega Keskerakonna ees. Veidi kasvatas toetust jätkuvalt valimiskünnise all püsiv Eesti 200, samal ajal kui EKRE toetus langes kümne aasta madalaimale tasemele.",2026-04-24T01:40:00Z,ERR,https://www.err.ee/1610004634/emor-isamaa-ja-keskerakond-juhivad-reitinguid-tasavagiselt,Nepal
Meta va licencier 8000 employés pour compenser ses investissements dans l'IA,"Meta a annoncé jeudi en interne le licenciement de 8000 personnes, soit environ 10% de ses effectifs, a indiqué à l'AFP une source proche du dossier. Dans le même temps, plusieurs médias américains ont fait état d'un vaste plan de départs volontaires chez Microsoft.",2026-04-24T01:39:44Z,rts.ch,https://www.rts.ch/info/sciences-tech/2026/article/meta-va-licencier-8000-employes-pour-compenser-ses-investissements-dans-l-ia-29221254.html,Nepal
Trisha: விஜய்க்கு ஓட்டு போட்டாரா த்ரிஷா? - சைலண்டாக செய்த சம்பவம்.. தவெகவினர் மகிழ்ச்சி!,நடிகை த்ரிஷா தனது தாயாருடன் வந்து  சென்னை அபிராமிபுரம் பகுதியில் உள்ள செயின்ட் பிரான்சிஸ் சேவியர் நடுநிலைப்பள்ளியில் தனது வாக்கினை பதிவு செய்தார். அதனைத் தொடர்ந்து இன்ஸ்டாவில் போட்ட பதிவு வைரலாகியுள்ளத,2026-04-24T01:37:37Z,ABP Nadu,https://tamil.abplive.com/entertainment/tn-election-2026-actress-trisha-instagram-post-viral-indirectly-singal-to-support-tvk-vijay-257313,India
